account_id,expected_bill_usd,actual_bill_usd,underbilled_flag,assigned_rep_id,applied_discount_pct,discount_ceiling_pct,discount_violation_flag
28f77f87-0d00-44c1-9e17-e84213e9d522,2779.91,2779.91,False,REP-184,9.32,9.8,False
22238eae-ca03-4f1c-a44b-aaaa2a23dfd4,2116.49,2116.49,False,REP-296,34.02,24.44,True
695de833-ea2d-4733-8a71-d31832ecf880,793.6,645.02,True,REP-519,34.01,9.53,True
54985bea-a106-4951-a591-96546f340f29,2447.53,1723.32,True,REP-374,16.8,25.06,False
4edab2f7-119f-4e1f-a4cd-1fafe2111fda,1207.21,1207.21,False,REP-401,22.21,11.81,True
6c6ae2e1-aefe-4469-87a2-390228ed85a0,2386.29,2386.29,False,REP-532,9.85,12.88,False
b49d9a14-a374-40e3-aa6d-24afdae0a88d,2258.88,2258.88,False,REP-321,29.99,21.3,True
2ab3ca2f-4996-4dd8-9cbb-ad2037d20a36,3719.14,3719.14,False,REP-863,20.27,13.44,True
3cc8c7a1-4599-4f7f-8877-5cbe8fb7a3cd,665.37,665.37,False,REP-103,6.18,29.1,False
9357ca66-2877-4f9b-a94c-821e9c07b1c5,411.48,411.48,False,REP-273,27.69,17.38,True
62c620a4-b212-4f75-9746-d05f89f297b8,661.89,661.89,False,REP-779,30.92,24.54,True
a442a1aa-385f-421a-86ea-e1f8836936a4,1825.1,1825.1,False,REP-708,2.68,13.38,False
71b07cfe-994a-4ddd-9c21-d0d14072b039,2924.68,2924.68,False,REP-841,0.45,12.46,False
594b82ae-3ba0-4fcf-ae9e-ac4ce531aad1,1824.37,1824.37,False,REP-966,20.95,6.14,True
5db68dcd-2593-480c-941d-d20b17cafe94,1475.41,1475.41,False,REP-338,11.68,7.86,True
da608720-c5f6-4b82-bd4c-697793c6287e,1381.86,1381.86,False,REP-670,21.69,9.22,True
ceb0c391-2d15-4d7a-afde-279509edfb9e,2215.36,2215.36,False,REP-508,30.73,24.21,True
f20ace75-494a-45c5-a7d1-b50028c0ae2b,4242.33,4242.33,False,REP-421,6.91,18.31,False
61a96795-5b75-45f1-b77e-a75e56167ffc,528.37,528.37,False,REP-004,19.25,20.9,False
de352e1d-44a5-4d86-8e0e-3f0abdf3a500,254.84,254.84,False,REP-098,25.71,27.69,False
d5daadf0-4ac6-49cd-aadb-4953243d9cfc,1662.97,1662.97,False,REP-644,0.42,17.08,False
451ab3c7-8ca2-4f5e-8bd0-c48ec35ad0d1,1041.66,1041.66,False,REP-680,7.91,12.49,False
b966a444-8c91-412e-849d-4ea1aefd583e,815.6,815.6,False,REP-280,7.77,19.02,False
5a5108f0-4845-4178-a769-e2f331090bd5,1742.7,1742.7,False,REP-219,39.37,25.96,True
7f7aa3ed-004e-4878-9293-95c2c966a7f7,3301.41,3301.41,False,REP-603,9.09,29.81,False
37ee95e7-28ad-47b8-9d97-38bb700211ad,1753.43,1222.46,True,REP-386,32.52,16.38,True
c4e8075c-3042-44a5-b3b6-94252a7ea3d4,1995.95,1995.95,False,REP-111,31.95,29.57,True
f0f8b1d0-6f68-48f3-9e72-7e18a7bdd814,1139.62,1139.62,False,REP-052,35.78,24.87,True
99b26ecd-2b8f-4095-8a90-e19e158df0d4,1705.1,1705.1,False,REP-201,20.25,16.86,True
0469286d-b0ba-4c8e-8e1a-afdb2b35530a,1369.62,1369.62,False,REP-961,29.07,13.34,True
9700addd-05f6-4c3f-9c75-1bdae5a00f57,975.12,825.38,True,REP-834,23.29,7.26,True
75cd7205-c29a-466e-ab88-e984b334637b,4172.42,4172.42,False,REP-935,20.71,9.65,True
a1356948-87ba-4155-a7c2-66b0b7baf15a,257.2,257.2,False,REP-906,17.16,5.77,True
4cd07fbd-e7b1-44bb-8f7a-9ff7bb89116f,3689.64,3689.64,False,REP-914,10.82,5.11,True
2a7c5def-7426-44f9-889a-c8c0fb65be1f,2560.01,2560.01,False,REP-094,39.7,11.59,True
f830913a-a7b6-45fd-9777-9b1a4b783365,3253.51,3253.51,False,REP-609,29.67,5.31,True
f4795e96-2bc9-422f-aeb4-fde18750ab13,2386.99,2386.99,False,REP-453,21.0,17.99,True
ab31502b-ef8a-428f-970f-51a91cefe050,2877.78,2877.78,False,REP-871,27.7,15.35,True
0f01fc5b-7f5d-48d7-9c39-f31ecdbb831f,1704.52,1704.52,False,REP-433,38.22,13.16,True
ae9ea5a5-91d1-43d0-a150-d63c61fc1b05,1274.93,1274.93,False,REP-122,15.8,28.56,False
0ec4e932-758d-4934-bce2-22d682f8757f,609.9,609.9,False,REP-131,32.08,9.09,True
75f23398-1451-4512-9563-4c0c25edc6bb,1136.65,1136.65,False,REP-054,9.3,14.24,False
120737c1-90b9-4efe-9002-683a8494d0c3,4027.47,3355.86,True,REP-898,11.89,13.77,False
70acbf17-1782-45cd-bf34-1ac2a9d61c08,674.05,674.05,False,REP-494,0.24,24.36,False
9753e34c-0d2f-4131-abfa-cc7d788807b7,372.22,372.22,False,REP-299,24.95,11.33,True
ebd040e2-4e29-4701-8bab-30d7abe67717,1626.93,1626.93,False,REP-021,3.21,5.84,False
aa54fd58-29c4-4e69-91fd-67d2ecf814f7,2787.39,2787.39,False,REP-909,30.96,16.54,True
708489ab-d6f7-4ce5-af84-bd385321038b,3536.53,3536.53,False,REP-300,35.59,17.58,True
5162674d-fc4b-4f76-8066-a4937b6af820,1998.62,1998.62,False,REP-373,1.1,16.17,False
34cdd2d8-fcad-437c-aa1c-8506e9848551,2697.62,2697.62,False,REP-148,6.02,27.85,False
9ab38c45-d7de-4f47-8c6c-4e3d01ed23e9,1444.97,1444.97,False,REP-839,5.97,10.89,False
4c5a9271-444f-4ef5-b3af-a055c09897a4,672.29,672.29,False,REP-857,26.28,20.63,True
2b7bfc3e-da11-4846-b272-5e0000a07a5e,1313.13,916.7,True,REP-928,17.94,7.33,True
92bd2d06-cfd9-4ebd-b4c9-f3b93012b545,655.59,551.6,True,REP-185,24.93,5.3,True
f6c1719c-1215-4232-b630-d2b24ac3d423,2593.12,1762.25,True,REP-913,12.18,25.75,False
2ed396e4-69a9-448c-b800-3156d0dae5d5,1930.62,1930.62,False,REP-433,7.71,26.55,False
c077bd22-aa87-44d2-bfc6-39d7b1c18854,2416.28,2416.28,False,REP-548,31.57,25.74,True
0c3c593b-32ee-4e42-bd43-ade1c5b8ca7a,2623.12,2623.12,False,REP-613,34.41,22.46,True
a84022d5-ecf7-4d54-954a-be1008686125,5644.74,5644.74,False,REP-262,20.11,26.25,False
cf28623a-bdc5-47c6-9366-2730d84bb560,867.57,867.57,False,REP-149,17.62,5.75,True
